Question,Difficulty,Category,Correct,Wrong1,Wrong2,Wrong3
"Ποια δεκαετία γυρίστηκε η ταινία, Ο δασκαλάκος ήταν λεβεντιά;",2,3,70,60,80,50
"Ποιος/ποια από τους/τις παρακάτω ΔΕΝ συμμετείχε στην ταινία του 1954, Γκολ στον έρωτα;",3,3,Βασίλης Αυλωνίτης,Νίκος Ρίζος,Μίμης Φωτόπουλος,Γεωργία Βασιλειάδου
"Ποιος ήταν ο σκηνοθέτης της ταινίας, Κοινωνία ώρα μηδέν;",2,3,Ντίνος Δημόπουλος,Νίκος Φώσκολος,Γιάννης Δαλιανίδης,Αλέκος Σακελάριος
"Ποιο ήταν το επάγγελμα του Αλέκου Αλεξανδράκη, ως Κίμωνα, στην ταινία Ένα κορίτσι για δύο;",2,3,Καθηγητής φιλοσοφίας,Καθηγητής μαθηματικών,Καθηγητής χημείας,Καθηγητής φυσικής
"Ποιος ήταν ο πρωταγωνιστής της ταινίας, Το τυχερό πανταλόνι;",2,3,Θανάσης Βέγγος,Δημήτρης Παπαμιχαήλ,Αλέκος Αλεξανδράκης,Κώστας Χατζηχρήστος
Ποια από τις παρακάτω ταινίες ΔΕΝ σκηνοθέτησε ο Ντίνος Δημόπουλος;,3,3,Το στραβόξυλο,Το θύμα,Το κλωτσοσκούφι,Το λεβεντόπαιδο
Ποια ήταν η πρώτη έγχρωμη ταινία στην οποια συμμετείχε ο Βασίλης Αυλωνίτης;,3,3,Μικροί μεγάλοι εν δράσει,Ο ανακατωσούρας,Η κοροιδάρα,Πάρε κόσμε
Ποια ηθοποιός είχε ως πραγματικό ονοματεπώνυμο το Αδαμαντία Μαυροειδή;,3,3,Γκιζέλα Ντάλη,Μαρίνα Μπιούτη,Λίντα Μιράντα,Ζινέτ Λακάζ
"Ποιος υποδύθηκε τον διευθυντή της τράπεζας στην ταινία, Μια ζωή την έχουμε;",1,3,Χρήστος Τσαγανέας,Περικλής Χριστοφορίδης,Κούλης Στολίγκας,Λαυρέντης Διανέλος
"Ποιο είναι το πρωταγωνιστικό δίδυμο της ταινίας του 1972, Επτά χρόνια γάμου;",1,3,Βουτσάς-Κοντού,Καρράς-Λάσκαρη,Αλεξανδράκης-Βλαχοπούλου,Κούρκουλος-Ερήμου
Ποια από τις παρακάτω ταινίες είναι πιό πρόσφατη;,2,3,Το κοροϊδάκι της πριγκηπέσσας,Ο δασκαλάκος ήταν λεβεντιά,Εγώ ρεζίλεψα τον Χίτλερ,Μια Ελληνίδα στο χαρέμι
"Ποιος ηθοποιός έπαιζε το ρόλο του Μιμίκου στην ταινία με την Αλίκη Βουγιουκλάκη, Ο Μιμίκος και η Μαίρη;",3,3,Αντρέας Μπάρκουλης,Θανάσης Βέγγος,Νικήτας Πλατής,Δημήτρης Καλλιβωκάς
"Ποιος ηθοποιός είχε πραγματικο ονοματεπώνυμο, Βασίλης Ταυλαρίδης;",3,3,Βασίλης Λογοθετίδης,Βασίλης Καίλας,Κώστας Κακκαβάς,Βαγγέλης Βουλγαρίδης
