Question,Difficulty,Category,Correct,Wrong1,Wrong2,Wrong3
Ποια χώρα έχει κατακτήσει τα περισσότερα Παγκόσμια Κύπελλα Ποδοσφαίρου;,1,1,Βραζιλία,Γερμανία,Ιταλία,Αργεντινή
Πόσα Παγκόσμια Κύπελλα έχει κερδίσει η Βραζιλία;,1,1,5,4,6,3
Ποια ομάδα είναι η μόνη που έχει συμμετάσχει σε όλες τις διοργανώσεις Παγκοσμίου Κυπέλλου;,1,1,Βραζιλία,Γερμανία,Ιταλία,Αργεντινή
Ποια χώρα κέρδισε το πρώτο Παγκόσμιο Κύπελλο το 1930;,1,1,Ουρουγουάη,Βραζιλία,Αργεντινή,Ιταλία
Ποια χώρα φιλοξένησε το Παγκόσμιο Κύπελλο του 1930;,1,1,Ουρουγουάη,Βραζιλία,Αργεντινή,Ιταλία
Ποια ομάδα κέρδισε το Παγκόσμιο Κύπελλο του 2022;,1,1,Αργεντινή,Γαλλία,Βραζιλία,Αγγλία
Ποια ομάδα κέρδισε το Παγκόσμιο Κύπελλο του 1950;,1,1,Ουρουγουάη,Βραζιλία,Ιταλία,Γερμανία
Ποια χώρα φιλοξένησε το Παγκόσμιο Κύπελλο του 1958;,1,1,Σουηδία,Ελβετία,Βραζιλία,Αγγλία
Ποια χώρα φιλοξένησε το Παγκόσμιο Κύπελλο του 2014;,1,1,Βραζιλία,Γερμανία,Αργεντινή,Ουρουγουάη
Πόσες διαφορετικές χώρες έχουν κερδίσει Παγκόσμιο Κύπελλο;,2,1,8,6,7,9
Ποια χώρα έχει τους περισσότερους συνολικούς βαθμούς στην ιστορία του Παγκοσμίου Κυπέλλου;,2,1,Βραζιλία,Γερμανία,Αργεντινή,Ιταλία
Ποια ομάδα έχει τις περισσότερες συμμετοχές σε τελικούς Παγκοσμίου Κυπέλλου;,2,1,Γερμανία,Βραζιλία,Ιταλία,Αργεντινή
Ποια ευρωπαϊκή ομάδα έχει τις περισσότερες συμμετοχές σε Παγκόσμια Κύπελλα;,2,1,Γερμανία,Ιταλία,Γαλλία,Αγγλία
Ποια ομάδα έχει δώσει τους περισσότερους αγώνες σε Παγκόσμια Κύπελλα;,2,1,Βραζιλία,Γερμανία,Αργεντινή,Ιταλία
Ποια ομάδα έχει τις περισσότερες νίκες στην ιστορία του Παγκοσμίου Κυπέλλου;,2,1,Βραζιλία,Γερμανία,Αργεντινή,Ιταλία
Ποια ομάδα έχει σημειώσει τα περισσότερα γκολ στην ιστορία του Παγκοσμίου Κυπέλλου;,2,1,Βραζιλία,Γερμανία,Αργεντινή,Γαλλία
Ποια ομάδα έχει την καλύτερη διαφορά τερμάτων στην ιστορία του Παγκοσμίου Κυπέλλου;,2,1,Βραζιλία,Γερμανία,Αργεντινή,Γαλλία
Ποια ομάδα έχει τις περισσότερες τρίτες θέσεις;,2,1,Γερμανία,Βραζιλία,Ιταλία,Γαλλία
Ποιος ήταν ο πρώτος σκόρερ στο Παγκόσμιο Κύπελλο του 1958;,2,1,Ζιστ Φονταίν,Πελέ,Σάντορ Κότσις,Εουσέμπιο
Πόσα γκολ σημείωσε ο Ζιστ Φονταίν στο Παγκόσμιο Κύπελλο του 1958;,2,1,13,11,9,8
Ποιος σημείωσε τα περισσότερα γκολ στο Παγκόσμιο Κύπελλο του 1954;,3,1,Σάντορ Κότσις,Ζιστ Φονταίν,Αντεμίρ,Εουσέμπιο
Ποιος ήταν ο πρώτος σκόρερ στο Παγκόσμιο Κύπελλο του 1930;,3,1,Γκιγέρμο Στάμπιλε,Όλντριχ Νέγιεντλι,Λεόνιδας,Αντεμίρ
Ποιος ήταν ο πρώτος σκόρερ στο Παγκόσμιο Κύπελλο του 1966;,3,1,Εουσέμπιο,Ζιστ Φονταίν,Σάντορ Κότσις,Πελέ
Πόσα γκολ σημείωσε ο Αντεμίρ στο Παγκόσμιο Κύπελλο του 1950;,3,1,9,8,7,6
Ποιος προπονητής κατέκτησε το Παγκόσμιο Κύπελλο το 1958;,3,1,Βισέντε Φεόλα,Βιτόριο Πότσο,Ζεπ Χέρμπεργκερ,Χουάν Λόπεθ
Ποιος ήταν ο προπονητής της Ουρουγουάης το 1930;,3,1,Αλμπέρτο Σουπίτσι,Βιτόριο Πότσο,Χουάν Λόπεθ,Ζεπ Χέρμπεργκερ
Ποιος κέρδισε τη Χρυσή Μπάλα (καλύτερος παίκτης) στο Παγκόσμιο Κύπελλο του 2022;,3,1,Λιονέλ Μέσι,Κιλιάν Εμπαπέ,Καρίμ Μπενζεμά,Λούκα Μόντριτς
Ποιος ήταν ο πρώτος σκόρερ στο Παγκόσμιο Κύπελλο του 1934;,3,1,Όλντριχ Νέγιεντλι,Γκιγέρμο Στάμπιλε,Λεόνιδας,Αντεμίρ
Ποιος ήταν ο πρώτος σκόρερ στο Παγκόσμιο Κύπελλο του 1938;,3,1,Λεόνιδας,Όλντριχ Νέγιεντλι,Γκιγέρμο Στάμπιλε,Σάντορ Κότσις
Ποια ομάδα έχει τις περισσότερες δεύτερες θέσεις;,3,1,Γερμανία,Αργεντινή,Ιταλία,Βραζιλία
