Question,Difficulty,Category,Correct,Wrong1,Wrong2,Wrong3
Πότε ξεκίνησε ο Β' Παγκόσμιος Πόλεμος;,1,2,1939,1938,1940,1941
Ποια χώρα εισέβαλε στην Πολωνία;,1,2,Γερμανία,Ιταλία,Ιαπωνία,Γαλλία
Ποιος ήταν ηγέτης της Ναζιστικής Γερμανίας;,1,2,Αδόλφος Χίτλερ,Στάλιν,Τσόρτσιλ,Ρούζβελτ
Ποιο γεγονός οδήγησε τις ΗΠΑ στον πόλεμο;,1,2,Επίθεση στο Περλ Χάρμπορ,Απόβαση στη Νορμανδία,Μάχη του Στάλινγκραντ,Πτώση του Βερολίνου
Πότε έληξε ο πόλεμος στην Ευρώπη;,1,2,1945,1944,1946,1943
Ποια ήταν μία από τις Δυνάμεις του Άξονα;,1,2,Ιαπωνία,Καναδάς,Ελλάδα,Βραζιλία
Ποια συμμαχία πολέμησε τον Άξονα;,1,2,Σύμμαχοι,Αντάντ,ΝΑΤΟ,Βαρσοβία
Ποια πόλη δέχθηκε την πρώτη ατομική βόμβα;,1,2,Χιροσίμα,Ναγκασάκι,Τόκιο,Οσάκα
Ποια μάχη θεωρείται σημείο καμπής στο Ανατολικό Μέτωπο;,2,2,Στάλινγκραντ,Ελ Αλαμέιν,Νορμανδία,Αρδέννες
Ποια επιχείρηση ήταν η απόβαση στη Νορμανδία;,2,2,Operation Overlord,Barbarossa,Market Garden,Torch
Ποιος ηγείτο της Σοβιετικής Ένωσης;,2,2,Ιωσήφ Στάλιν,Λένιν,Χρουστσόφ,Τσάρος Νικόλαος
Ποια επιχείρηση ήταν η εισβολή στη Σοβιετική Ένωση;,2,2,Operation Barbarossa,Overlord,Sea Lion,Torch
Ποια μάχη έγινε κυρίως στη Βόρεια Αφρική;,2,2,Ελ Αλαμέιν,Μιντγουέι,Κουρσκ,Σομμ
Ποια χώρα παραδόθηκε μετά τις ατομικές βόμβες;,2,2,Ιαπωνία,Ιταλία,Γερμανία,Ουγγαρία
Ποιος ήταν Βρετανός πρωθυπουργός στο μεγαλύτερο μέρος του πολέμου;,2,2,Ουίνστον Τσόρτσιλ,Νέβιλ Τσάμπερλεν,Άττλη,Ντε Γκωλ
Ποιο στρατόπεδο εξόντωσης ήταν το μεγαλύτερο;,2,2,Άουσβιτς,Νταχάου,Μπούχενβαλντ,Τρεμπλίνκα
Ποια χώρα άλλαξε στρατόπεδο το 1943;,3,2,Ιταλία,Ιαπωνία,Γερμανία,Φινλανδία
Ποια ναυμαχία σταμάτησε την ιαπωνική επέκταση στον Ειρηνικό;,3,2,Μιντγουέι,Γιουτλάνδη,Τραφάλγκαρ,Κοραλλίων
Ποια ήταν η τελευταία μεγάλη γερμανική αντεπίθεση στη Δύση;,3,2,Μάχη των Αρδεννών,Νορμανδία,Στάλινγκραντ,Κουρσκ
Ποια διάσκεψη αποφάσισε τη μεταπολεμική Ευρώπη λίγο πριν το τέλος;,3,2,Γιάλτα,Πότσδαμ,Βιέννη,Βερσαλλίες
Ποιος ήταν πρόεδρος των ΗΠΑ στο μεγαλύτερο μέρος του πολέμου;,3,2,Φραγκλίνος Ρούζβελτ,Τρούμαν,Αϊζενχάουερ,Κένεντι
Ποια ήταν η κωδική ονομασία της σχεδιαζόμενης εισβολής στη Βρετανία;,3,2,Operation Sea Lion,Overlord,Torch,Barbarossa
Ποια χώρα προσαρτήθηκε πριν την εισβολή στην Πολωνία μέσω Anschluss;,3,2,Αυστρία,Τσεχοσλοβακία,Ολλανδία,Βέλγιο
Ποια μάχη ήταν η μεγαλύτερη αρματομαχία;,3,2,Κουρσκ,Ελ Αλαμέιν,Μόσχα,Βερολίνο
Ποια οργάνωση ιδρύθηκε μετά τον πόλεμο;,3,2,ΟΗΕ,ΝΑΤΟ,ΕΕ,Κοινωνία των Εθνών
Πότε έγινε η Απόβαση της Νορμανδίας;,3,2,6 Ιουνίου 1944,1 Σεπτεμβρίου 1939,8 Μαΐου 1945,7 Δεκεμβρίου 1941
Ποιος ήταν αρχηγός της Ελεύθερης Γαλλίας;,3,2,Σαρλ ντε Γκωλ,Πεταίν,Μουσολίνι,Μοντγκόμερι
Ποια χώρα υπέστη το Ολοκαύτωμα ως κύριος στόχος;,3,2,Οι Εβραίοι δεν ήταν χώρα,Πολωνία,Γαλλία,Νορβηγία
Ποια πόλη δέχθηκε τη δεύτερη ατομική βόμβα;,3,2,Ναγκασάκι,Χιροσίμα,Κιότο,Τόκιο
Ποια ημερομηνία θεωρείται VE Day;,3,2,8 Μαΐου 1945,2 Σεπτεμβρίου 1945,6 Ιουνίου 1944,1 Σεπτεμβρίου 1939
